entity,invoice_number,invoice_date,year,item_code,quantity,contact_raw,contact_canonical,status,account_raw,product_line,net,is_product_revenue,is_intra_group
Cinema Acoustic Treatment Systems Limited,#84,2016-02-29,2016,,,,,Manual Journal,Sales - CATS Complete,CATS Complete,5250.0,0,0
Cinema Acoustic Treatment Systems Limited,#83,2016-03-01,2016,,,,,Manual Journal,Sales - CATS Complete,CATS Complete,-5250.0,0,0
Cinema Acoustic Treatment Systems Limited,#1806,2023-12-31,2023,,,,,Manual Journal,Sales - C-ATS Reverberation,C-ATS Reverberation,-814.73,0,0
Cinema Acoustic Treatment Systems Limited,Cornflake Shop,2016-03-08,2016,,,Apex Tech Scotland Ltd,Apex Tech Scotland Ltd,Receivable Invoice,Sales - CATS Complete,CATS Complete,5250.0,1,1
Cinema Acoustic Treatment Systems Limited,Cornflake Shop,2016-10-01,2016,,,Apex Tech Scotland Ltd,Apex Tech Scotland Ltd,Receivable Invoice,Sales - CATS Complete,CATS Complete,10875.0,1,1
Cinema Acoustic Treatment Systems Limited,INV-0013,2017-03-10,2017,,,Apex Tech Scotland Ltd,Apex Tech Scotland Ltd,Receivable Invoice,Sales - CATS Packs,CATS Packs,1300.0,1,1
Cinema Acoustic Treatment Systems Limited,Cornflake,2018-02-28,2018,,,Apex Tech Scotland Ltd,Apex Tech Scotland Ltd,Receivable Invoice,Sales - CATS Packs,CATS Packs,1300.0,1,1
Cinema Acoustic Treatment Systems Limited,Stock Catchup,2018-06-14,2018,,,Apex Tech Scotland Ltd,Apex Tech Scotland Ltd,Receivable Invoice,Sales - CATS Packs,CATS Packs,1300.0,1,1
Cinema Acoustic Treatment Systems Limited,CSAV Packs,2018-07-25,2018,,,Apex Tech Scotland Ltd,Apex Tech Scotland Ltd,Receivable Invoice,Sales - CATS Packs,CATS Packs,468.0,1,1
Cinema Acoustic Treatment Systems Limited,PO-1822,2018-10-01,2018,,,Apex Tech Scotland Ltd,Apex Tech Scotland Ltd,Receivable Invoice,Sales - CATS Packs,CATS Packs,936.0,1,1
Cinema Acoustic Treatment Systems Limited,Jay Demo Pack,2018-10-15,2018,,,Apex Tech Scotland Ltd,Apex Tech Scotland Ltd,Receivable Invoice,Sales - CATS Packs,CATS Packs,234.0,1,1
