entity,product_line,rows,net,note
GTUK / Apex Tech Scotland Ltd,NEXTGENTECH,169,779979.08,category unidentified — needs a human
GTUK / Apex Tech Scotland Ltd,OTHERS,173,509342.62,category unidentified — needs a human
GTUK / Apex Tech Scotland Ltd,PRO AUDIO,62,320725.07,category unidentified — needs a human
Display Technologies,DT Store Sales,122,306647.0,category unidentified — needs a human
Display Technologies,Others,170,234134.7,category unidentified — needs a human
GTUK / Apex Tech Scotland Ltd,AGATH,147,216341.65,category unidentified — needs a human
GTUK / Apex Tech Scotland Ltd,TPI Cinema,31,154947.06,category unidentified — needs a human
GTUK / Apex Tech Scotland Ltd,CINEMA PARTNERS MATERIALS,36,135598.32,category unidentified — needs a human
GTUK / Apex Tech Scotland Ltd,IMAGE,52,125888.77,category unidentified — needs a human
GTUK / Apex Tech Scotland Ltd,LEAF,56,122617.65,category unidentified — needs a human
GTUK / Apex Tech Scotland Ltd,HTC,43,98618.72,category unidentified — needs a human
Light Walls,Sales,113,79256.48,category unidentified — needs a human
SRND Group Ltd,Sales,3,298.87,category unidentified — needs a human
GTUK / Apex Tech Scotland Ltd,(blank),614,0.0,category unidentified — needs a human
Display Technologies,(blank),574,0.0,category unidentified — needs a human
