entity,invoice_number,invoice_date,year,item_code,quantity,contact_raw,contact_canonical,status,account_raw,product_line,net,is_product_revenue,is_intra_group
Display Technologies,INV-2016/0001,2016-07-12,2016,,1,Apex Tech Scotland Ltd,Apex Tech Scotland Ltd,Paid,Sales - Non Motorised On Wall Screens,Non Motorised On Wall Screens,1092.0,1,1
Display Technologies,INV-0001,2016-08-19,2016,DT-DYN-2S-450,1,Meridian Audio Ltd,Meridian Audio Ltd,Paid,Sales - Motorised On Wall Screens,Motorised On Wall Screens,4617.6,1,0
Display Technologies,INV-0002,2016-08-19,2016,,1,Reference AV,Reference AV,Paid,Other Revenue,Other Revenue,280.0,0,0
Display Technologies,INV-0003,2016-09-17,2016,DT-CNTP-390,1,Apex Tech Scotland Ltd,Apex Tech Scotland Ltd,Paid,Sales - Non Motorised On Wall Screens,Non Motorised On Wall Screens,1326.0,1,1
Display Technologies,INV-0004,2016-10-22,2016,DT-DYN-2S-420,1,Sphere Custom Design,Sphere Custom Design,Paid,Sales - Motorised On Wall Screens,Motorised On Wall Screens,5460.0,1,0
Display Technologies,INV-0005,2016-10-27,2016,DT-FRNT-330,1,Apex Tech Scotland Ltd,Apex Tech Scotland Ltd,Paid,Sales - Non Motorised On Wall Screens,Non Motorised On Wall Screens,1092.0,1,1
Display Technologies,INV-0005,2016-10-27,2016,,6,Apex Tech Scotland Ltd,Apex Tech Scotland Ltd,Paid,Other Revenue,Other Revenue,120.0,0,1
Display Technologies,INV-0006,2016-11-22,2016,DT-FRNT-330,1,Meridian Audio Ltd,Meridian Audio Ltd,Paid,Sales - Non Motorised On Wall Screens,Non Motorised On Wall Screens,1092.0,1,0
Display Technologies,INV-0007,2016-11-25,2016,DT-FRNT-240,1,Meridian America Inc.,Meridian America Inc.,Paid,Sales - Non Motorised On Wall Screens,Non Motorised On Wall Screens,741.0,1,0
Display Technologies,INV-0007,2016-11-25,2016,,1,Meridian America Inc.,Meridian America Inc.,Paid,Sales - Non Motorised On Wall Screens,Non Motorised On Wall Screens,-741.0,1,0
Display Technologies,INV-0008,2016-11-28,2016,DT-DYN-2S-330,1,Meridian Audio Ltd,Meridian Audio Ltd,Paid,Sales - Motorised On Wall Screens,Motorised On Wall Screens,4290.0,1,0
Display Technologies,INV-0009,2016-11-28,2016,DT-FRNT-390,1,Meridian Audio Ltd,Meridian Audio Ltd,Paid,Sales - Non Motorised On Wall Screens,Non Motorised On Wall Screens,1404.0,1,0
Display Technologies,INV-0010,2016-11-28,2016,DT-FRNT-240,1,Meridian Audio Ltd,Meridian Audio Ltd,Paid,Sales - Non Motorised On Wall Screens,Non Motorised On Wall Screens,741.0,1,0
Display Technologies,INV-0011,2016-11-30,2016,DT-FRNT-300,1,Meridian Audio Ltd,Meridian Audio Ltd,Paid,Sales - Non Motorised On Wall Screens,Non Motorised On Wall Screens,936.0,1,0
Display Technologies,INV-0012,2016-11-30,2016,DT-DYN-2S-360,1,Meridian Audio Ltd,Meridian Audio Ltd,Paid,Sales - Motorised On Wall Screens,Motorised On Wall Screens,4680.0,1,0
Display Technologies,INV-0013,2016-12-12,2016,,1,Apex Tech Scotland Ltd,Apex Tech Scotland Ltd,Paid,Other Revenue,Other Revenue,208.33,0,1
Display Technologies,INV-0015,2017-01-05,2017,DT-DYN-2TB-300,1,Meridian Audio Ltd,Meridian Audio Ltd,Paid,Sales - Motorised On Wall Screens,Motorised On Wall Screens,3900.0,1,0
Display Technologies,INV-0016,2017-01-05,2017,DT-FRNT-300,1,Meridian Audio Ltd,Meridian Audio Ltd,Paid,Sales - Non Motorised On Wall Screens,Non Motorised On Wall Screens,936.0,1,0
Display Technologies,INV-0017,2017-01-05,2017,,1,Apex Tech Scotland Ltd,Apex Tech Scotland Ltd,Paid,Other Revenue,Other Revenue,2500.0,0,1
Display Technologies,INV-0018,2017-01-10,2017,DT-FRNT-510,1,Meridian America Inc.,Meridian America Inc.,Paid,Sales - Non Motorised On Wall Screens,Non Motorised On Wall Screens,2262.0,1,0
