entity,invoice_number,invoice_date,year,item_code,quantity,contact_raw,contact_canonical,status,account_raw,product_line,net,is_product_revenue,is_intra_group
GTUK / Apex Tech Scotland Ltd,INV-2012/737,2012-01-11,2012,AGA-T237-M,1,Ideaworks Limited,Ideaworks Limited,Paid,Sales - AGATH,AGATH,3705.0,1,0
GTUK / Apex Tech Scotland Ltd,INV-2012/737,2012-01-11,2012,AGA-T237-M,1,Ideaworks Limited,Ideaworks Limited,Paid,Sales - AGATH,AGATH,3705.0,1,0
GTUK / Apex Tech Scotland Ltd,CANCELS INV 2012/737,2012-01-11,2012,AGA-T237-N,1,Ideaworks Limited,Ideaworks Limited,Paid,Sales - AGATH,AGATH,-3705.0,1,0
GTUK / Apex Tech Scotland Ltd,CANCELS INV 2012/737,2012-01-11,2012,AGA-T237-N,1,Ideaworks Limited,Ideaworks Limited,Paid,Sales - AGATH,AGATH,-3705.0,1,0
GTUK / Apex Tech Scotland Ltd,INV-0796,2012-02-07,2012,,1,The Sound Gallery,The Sound Gallery,Paid,Sales - PRISMASONIC,PRISMASONIC,1998.0,1,0
GTUK / Apex Tech Scotland Ltd,INV-0806,2012-02-13,2012,,1,Brilliant Living,Brilliant Living,Paid,Sales - DPI,DPI,2908.0,1,0
GTUK / Apex Tech Scotland Ltd,INV-0807,2012-02-13,2012,,1,The High End,The High End,Paid,Sales - XPAND,XPAND,1980.0,1,0
GTUK / Apex Tech Scotland Ltd,INV-0808,2012-02-13,2012,,1,The High End,The High End,Paid,Sales - CINEMATECH,CINEMATECH,12863.43,1,0
GTUK / Apex Tech Scotland Ltd,INV-0809,2012-02-13,2012,,1,Andrew Lucas London,Andrew Lucas London,Paid,Sales - STEALTH,STEALTH,630.0,1,0
GTUK / Apex Tech Scotland Ltd,INV-0810,2012-02-13,2012,,1,Isis Integrated Systems,Isis Integrated Systems,Paid,Sales - LEAF,LEAF,325.0,1,0
GTUK / Apex Tech Scotland Ltd,INV-0811,2012-02-13,2012,,1,Symfony Custom Install Limited,Symfony Custom Install Limited,Paid,Sales - AGATH,AGATH,2795.0,1,0
GTUK / Apex Tech Scotland Ltd,INV-0811,2012-02-13,2012,,1,Symfony Custom Install Limited,Symfony Custom Install Limited,Paid,Sales - AGATH,AGATH,-195.0,1,0
GTUK / Apex Tech Scotland Ltd,INV-0811,2012-02-13,2012,,1,Symfony Custom Install Limited,Symfony Custom Install Limited,Paid,Sales - AGATH,AGATH,78.0,1,0
GTUK / Apex Tech Scotland Ltd,INV-0812,2012-02-13,2012,,1,Livewire Home Integration Ltd,Livewire Home Integration Ltd,Paid,Sales - AGATH,AGATH,1300.0,1,0
GTUK / Apex Tech Scotland Ltd,INV-0812,2012-02-13,2012,,1,Livewire Home Integration Ltd,Livewire Home Integration Ltd,Paid,Sales - AGATH,AGATH,162.5,1,0
GTUK / Apex Tech Scotland Ltd,INV-0812,2012-02-13,2012,,1,Livewire Home Integration Ltd,Livewire Home Integration Ltd,Paid,Sales - AGATH,AGATH,234.0,1,0
GTUK / Apex Tech Scotland Ltd,INV-0813,2012-02-13,2012,,1,Tillman Domotics,Tillman Domotics,Paid,Sales - AGATH,AGATH,4615.0,1,0
GTUK / Apex Tech Scotland Ltd,INV-0813,2012-02-13,2012,,1,Tillman Domotics,Tillman Domotics,Paid,Sales - AGATH,AGATH,-195.0,1,0
GTUK / Apex Tech Scotland Ltd,INV-0814,2012-02-13,2012,,1,Soundset,Soundset,Paid,Sales - OTHERS,OTHERS,2250.0,1,0
GTUK / Apex Tech Scotland Ltd,INV-0814,2012-02-13,2012,,1,Soundset,Soundset,Paid,Sales - OTHERS,OTHERS,1000.0,1,0
GTUK / Apex Tech Scotland Ltd,INV-0815,2012-02-13,2012,,1,Smartcomm Ltd,Smartcomm Ltd,Paid,Sales - LEON,LEON,852.0,1,0
GTUK / Apex Tech Scotland Ltd,INV-0815,2012-02-13,2012,,1,Smartcomm Ltd,Smartcomm Ltd,Paid,Sales - LEON,LEON,390.0,1,0
GTUK / Apex Tech Scotland Ltd,INV-0816,2012-02-13,2012,,5,DLUK (London) Ltd,DLUK (London) Ltd,Paid,Sales - KEY DIGITAL,KEY DIGITAL,55.0,1,0
GTUK / Apex Tech Scotland Ltd,INV-0816,2012-02-13,2012,,4,DLUK (London) Ltd,DLUK (London) Ltd,Paid,Sales - KEY DIGITAL,KEY DIGITAL,48.0,1,0
GTUK / Apex Tech Scotland Ltd,INV-0817,2012-02-13,2012,,1,Brilliant Living,Brilliant Living,Paid,Sales - IMAGE,IMAGE,1495.0,1,0
GTUK / Apex Tech Scotland Ltd,INV-0818,2012-02-13,2012,,1,Grahams,Grahams,Paid,Sales - ADA,ADA,1440.0,1,0
GTUK / Apex Tech Scotland Ltd,INV-0819,2012-02-13,2012,,1,Brilliant Living,Brilliant Living,Paid,Sales - STRAIGHTWIRE,STRAIGHTWIRE,120.0,1,0
GTUK / Apex Tech Scotland Ltd,INV-0820,2012-02-13,2012,,1,Imagine this (UK) Ltd,Imagine this (UK) Ltd,Paid,Sales - AGATH,AGATH,675.0,1,0
GTUK / Apex Tech Scotland Ltd,INV-0820,2012-02-13,2012,,1,Imagine this (UK) Ltd,Imagine this (UK) Ltd,Paid,Sales - AGATH,AGATH,2137.5,1,0
GTUK / Apex Tech Scotland Ltd,INV-0821,2012-02-13,2012,,1,DLUK (London) Ltd,DLUK (London) Ltd,Paid,Sales - LEON,LEON,250.0,1,0
GTUK / Apex Tech Scotland Ltd,INV-0822,2012-02-13,2012,,1,Icon Connect Ltd,Icon Connect Ltd,Paid,Sales - LEON,LEON,1380.0,1,0
GTUK / Apex Tech Scotland Ltd,INV-0822,2012-02-13,2012,,1,Icon Connect Ltd,Icon Connect Ltd,Paid,,,0.0,1,0
GTUK / Apex Tech Scotland Ltd,INV-0822,2012-02-13,2012,,1,Icon Connect Ltd,Icon Connect Ltd,Paid,Sales - LEON,LEON,132.0,1,0
GTUK / Apex Tech Scotland Ltd,INV-0823,2012-02-13,2012,,1,Fusion.One International Ltd,Fusion.One International Ltd,Paid,Sales - ADA,ADA,2700.0,1,0
GTUK / Apex Tech Scotland Ltd,INV-0825,2012-02-13,2012,,8,Sceptre AV,Sceptre AV,Paid,Sales - STEALTH,STEALTH,600.0,1,0
GTUK / Apex Tech Scotland Ltd,INV-0825,2012-02-13,2012,,7,Sceptre AV,Sceptre AV,Paid,Sales - STEALTH,STEALTH,420.0,1,0
GTUK / Apex Tech Scotland Ltd,CN-1002,2012-02-29,2012,,1,Cornflake Ltd.,Cornflake Ltd.,Paid,Sales - AGATH,AGATH,-2434.71,1,0
GTUK / Apex Tech Scotland Ltd,CN-1002,2012-02-29,2012,,1,Cornflake Ltd.,Cornflake Ltd.,Paid,Sales - AGATH,AGATH,-129.6,1,0
GTUK / Apex Tech Scotland Ltd,CN-1002,2012-02-29,2012,,1,Cornflake Ltd.,Cornflake Ltd.,Paid,Sales - AGATH,AGATH,-890.0,1,0
GTUK / Apex Tech Scotland Ltd,CN-1003,2012-03-14,2012,,2,Future Systems AV Ltd,Future Systems AV Ltd,Paid,Sales - AGATH,AGATH,-156.0,1,0
GTUK / Apex Tech Scotland Ltd,CN-1013,2012-03-14,2012,,1,Smartcomm Ltd,Smartcomm Ltd,Paid,Sales - LEON,LEON,-1380.0,1,0
GTUK / Apex Tech Scotland Ltd,CN-1013,2012-03-14,2012,,1,Smartcomm Ltd,Smartcomm Ltd,Paid,,,0.0,1,0
GTUK / Apex Tech Scotland Ltd,CN-1013,2012-03-14,2012,,1,Smartcomm Ltd,Smartcomm Ltd,Paid,Sales - LEON,LEON,-132.0,1,0
GTUK / Apex Tech Scotland Ltd,CN-1014,2012-03-14,2012,,14,Smartcomm Ltd,Smartcomm Ltd,Paid,Sales - STEALTH,STEALTH,-7000.0,1,0
GTUK / Apex Tech Scotland Ltd,CN-1014,2012-03-14,2012,,6,Smartcomm Ltd,Smartcomm Ltd,Paid,Sales - STEALTH,STEALTH,-2100.0,1,0
GTUK / Apex Tech Scotland Ltd,CN-1014,2012-03-14,2012,,16,Smartcomm Ltd,Smartcomm Ltd,Paid,Sales - STEALTH,STEALTH,-1440.0,1,0
GTUK / Apex Tech Scotland Ltd,CN-1014,2012-03-14,2012,,7,Smartcomm Ltd,Smartcomm Ltd,Paid,Sales - STEALTH,STEALTH,-1050.0,1,0
GTUK / Apex Tech Scotland Ltd,INV-0854,2012-03-14,2012,,3,DLUK (London) Ltd,DLUK (London) Ltd,Paid,Sales - STRAIGHTWIRE,STRAIGHTWIRE,57.0,1,0
GTUK / Apex Tech Scotland Ltd,INV-0855,2012-03-14,2012,,4,The Pleasure Home,The Pleasure Home,Paid,Sales - STEALTH,STEALTH,1800.0,1,0
GTUK / Apex Tech Scotland Ltd,INV-0855,2012-03-14,2012,,1,The Pleasure Home,The Pleasure Home,Paid,Sales - STEALTH,STEALTH,-75.0,1,0
GTUK / Apex Tech Scotland Ltd,INV-0856,2012-03-14,2012,,1,Brilliant Living,Brilliant Living,Paid,Sales - STEALTH,STEALTH,500.0,1,0
GTUK / Apex Tech Scotland Ltd,INV-0856,2012-03-14,2012,,2,Brilliant Living,Brilliant Living,Paid,Sales - STEALTH,STEALTH,200.0,1,0
GTUK / Apex Tech Scotland Ltd,INV-0857,2012-03-14,2012,,1,Smartcomm Ltd,Smartcomm Ltd,Paid,Sales - LEON,LEON,1380.0,1,0
GTUK / Apex Tech Scotland Ltd,INV-0857,2012-03-14,2012,,1,Smartcomm Ltd,Smartcomm Ltd,Paid,,,0.0,1,0
GTUK / Apex Tech Scotland Ltd,INV-0857,2012-03-14,2012,,1,Smartcomm Ltd,Smartcomm Ltd,Paid,Sales - LEON,LEON,132.0,1,0
GTUK / Apex Tech Scotland Ltd,INV-0859,2012-03-14,2012,,1,The Little Cinema Company Ltd,The Little Cinema Company Ltd,Paid,Sales - AGATH,AGATH,2340.0,1,0
GTUK / Apex Tech Scotland Ltd,INV-0859,2012-03-14,2012,,1,The Little Cinema Company Ltd,The Little Cinema Company Ltd,Paid,,,0.0,1,0
GTUK / Apex Tech Scotland Ltd,INV-0859,2012-03-14,2012,,1,The Little Cinema Company Ltd,The Little Cinema Company Ltd,Paid,,,0.0,1,0
GTUK / Apex Tech Scotland Ltd,INV-0860,2012-03-14,2012,,1,Stone Audio UK Ltd,Stone Audio UK Ltd,Paid,Sales - ADA,ADA,2500.0,1,0
GTUK / Apex Tech Scotland Ltd,INV-0861,2012-03-14,2012,,1,Design Innovation,Design Innovation,Paid,Sales - LEAF,LEAF,3750.0,1,0
GTUK / Apex Tech Scotland Ltd,INV-0861,2012-03-14,2012,,4,Design Innovation,Design Innovation,Paid,Sales - LEAF,LEAF,750.0,1,0
GTUK / Apex Tech Scotland Ltd,INV-0862,2012-03-14,2012,,1,Nethaus Ltd,Nethaus Ltd,Paid,Sales - CINEMATECH,CINEMATECH,4425.12,1,0
GTUK / Apex Tech Scotland Ltd,INV-0863,2012-03-14,2012,,1,Soundset,Soundset,Paid,Sales - OTHERS,OTHERS,1500.0,1,0
GTUK / Apex Tech Scotland Ltd,INV-0863,2012-03-14,2012,,1,Soundset,Soundset,Paid,Sales - OTHERS,OTHERS,399.52,1,0
GTUK / Apex Tech Scotland Ltd,INV-0864,2012-03-14,2012,,1,Adept Integrated Systems,Adept Integrated Systems,Paid,Sales - AGATH,AGATH,2080.0,1,0
GTUK / Apex Tech Scotland Ltd,INV-0864,2012-03-14,2012,,1,Adept Integrated Systems,Adept Integrated Systems,Paid,,,0.0,1,0
GTUK / Apex Tech Scotland Ltd,INV-0864,2012-03-14,2012,,1,Adept Integrated Systems,Adept Integrated Systems,Paid,Sales - AGATH,AGATH,97.5,1,0
GTUK / Apex Tech Scotland Ltd,INV-0865,2012-03-14,2012,,2,Future Systems AV Ltd,Future Systems AV Ltd,Paid,Sales - AGATH,AGATH,156.0,1,0
GTUK / Apex Tech Scotland Ltd,INV-0866,2012-03-14,2012,,14,Smartcomm Ltd,Smartcomm Ltd,Paid,Sales - STEALTH,STEALTH,7000.0,1,0
GTUK / Apex Tech Scotland Ltd,INV-0866,2012-03-14,2012,,6,Smartcomm Ltd,Smartcomm Ltd,Paid,Sales - STEALTH,STEALTH,2100.0,1,0
GTUK / Apex Tech Scotland Ltd,INV-0866,2012-03-14,2012,,16,Smartcomm Ltd,Smartcomm Ltd,Paid,Sales - STEALTH,STEALTH,1440.0,1,0
GTUK / Apex Tech Scotland Ltd,INV-0866,2012-03-14,2012,,7,Smartcomm Ltd,Smartcomm Ltd,Paid,Sales - STEALTH,STEALTH,1050.0,1,0
GTUK / Apex Tech Scotland Ltd,INV-0867,2012-03-14,2012,,1,Gibson Integration Ltd,Gibson Integration Ltd,Paid,Sales - LEON,LEON,984.0,1,0
GTUK / Apex Tech Scotland Ltd,INV-0867,2012-03-14,2012,,1,Gibson Integration Ltd,Gibson Integration Ltd,Paid,,,0.0,1,0
GTUK / Apex Tech Scotland Ltd,INV-0867,2012-03-14,2012,,1,Gibson Integration Ltd,Gibson Integration Ltd,Paid,Sales - LEON,LEON,132.0,1,0
GTUK / Apex Tech Scotland Ltd,INV-0893,2012-03-14,2012,,1,Marquee Installations Ltd,Marquee Installations Ltd,Paid,Sales - LEON,LEON,852.0,1,0
GTUK / Apex Tech Scotland Ltd,INV-0893,2012-03-14,2012,,1,Marquee Installations Ltd,Marquee Installations Ltd,Paid,,,0.0,1,0
GTUK / Apex Tech Scotland Ltd,INV-0893,2012-03-14,2012,,1,Marquee Installations Ltd,Marquee Installations Ltd,Paid,Sales - LEON,LEON,132.0,1,0
GTUK / Apex Tech Scotland Ltd,INV-0894,2012-03-14,2012,,1,James and Giles,James and Giles,Paid,Sales - LEAF,LEAF,2200.0,1,0
GTUK / Apex Tech Scotland Ltd,INV-0895,2012-03-14,2012,,1,Gibson Integration Ltd,Gibson Integration Ltd,Paid,Sales - IMAGE,IMAGE,1306.5,1,0
