entity,invoice_number,invoice_date,year,item_code,quantity,contact_raw,contact_canonical,status,account_raw,product_line,net,is_product_revenue,is_intra_group
Light Walls Ltd,#1829,2022-06-30,2022,,,,,Manual Journal,Sales,Sales,14600.0,0,0
Light Walls Ltd,#1831,2022-07-01,2022,,,,,Manual Journal,Sales,Sales,-14600.0,0,0
Light Walls Ltd,#2260,2022-11-30,2022,,,,,Manual Journal,Sales - Inter Company,Inter Company,6000.0,0,0
Light Walls Ltd,#2700,2023-06-30,2023,,,,,Manual Journal,Sales - Inter Company,Inter Company,29750.0,0,0
Light Walls Ltd,#2815,2023-07-01,2023,,,,,Manual Journal,Sales - Inter Company,Inter Company,-35750.0,0,0
Light Walls Ltd,#2918,2024-06-01,2024,,,,,Manual Journal,Sales - Inter Company,Inter Company,35750.0,0,0
Light Walls Ltd,#3114,2025-06-30,2025,,,,,Manual Journal,Sales - Protopixel,Protopixel,-14855.01,0,0
Light Walls Ltd,#3114,2025-06-30,2025,,,,,Manual Journal,Sales - Protopixel,Protopixel,18463.0,0,0
Light Walls Ltd,#3110,2025-07-01,2025,,,,,Manual Journal,Sales - Protopixel,Protopixel,-18463.0,0,0
Light Walls Ltd,INV-LW-1024,2021-06-09,2021,,,apex Tech International Ltd,Apex Tech International Ltd,Receivable Invoice,Sales - Protopixel,Protopixel,877.5,1,1
Light Walls Ltd,INV-LW-1024,2021-06-09,2021,,,apex Tech International Ltd,Apex Tech International Ltd,Receivable Invoice,Sales - Light Walls,Light Walls,100.0,1,1
Light Walls Ltd,INV-LW-1024,2021-06-09,2021,,,apex Tech International Ltd,Apex Tech International Ltd,Receivable Invoice,Sales - Light Walls,Light Walls,525.0,1,1
Light Walls Ltd,INV-LW-1024,2021-06-09,2021,,,apex Tech International Ltd,Apex Tech International Ltd,Receivable Invoice,Sales,Sales,245.8,1,1
Light Walls Ltd,INV-LW-1024,2021-06-09,2021,,,apex Tech International Ltd,Apex Tech International Ltd,Receivable Invoice,Sales,Sales,89.72,1,1
Light Walls Ltd,INV-LW-1024,2021-06-09,2021,,,apex Tech International Ltd,Apex Tech International Ltd,Receivable Invoice,Sales - Light Walls,Light Walls,466.76,1,1
Light Walls Ltd,INV-LW-1024,2021-06-09,2021,,,apex Tech International Ltd,Apex Tech International Ltd,Receivable Invoice,Sales - Protopixel,Protopixel,1142.86,1,1
Light Walls Ltd,INV-LW-1040,2021-11-08,2021,,,apex Tech International Ltd,Apex Tech International Ltd,Receivable Invoice,Sales - Protopixel,Protopixel,742.86,1,1
Light Walls Ltd,INV-LW-1040,2021-11-08,2021,,,apex Tech International Ltd,Apex Tech International Ltd,Receivable Invoice,Sales - Protopixel,Protopixel,45.71,1,1
Light Walls Ltd,INV-LW-1040,2021-11-08,2021,,,apex Tech International Ltd,Apex Tech International Ltd,Receivable Invoice,Sales - Light Walls,Light Walls,128.0,1,1
Light Walls Ltd,INV-LW-1040,2021-11-08,2021,,,apex Tech International Ltd,Apex Tech International Ltd,Receivable Invoice,Sales - Protopixel,Protopixel,1828.58,1,1
Light Walls Ltd,INV-LW-1040,2021-11-08,2021,,,apex Tech International Ltd,Apex Tech International Ltd,Receivable Invoice,Sales - Light Walls,Light Walls,45.72,1,1
Light Walls Ltd,INV-LW-1040,2021-11-08,2021,,,apex Tech International Ltd,Apex Tech International Ltd,Receivable Invoice,Sales - Light Walls,Light Walls,2880.0,1,1
Light Walls Ltd,INV-LW-1040,2021-11-08,2021,,,apex Tech International Ltd,Apex Tech International Ltd,Receivable Invoice,Sales - Light Walls,Light Walls,983.28,1,1
Light Walls Ltd,INV-LW-1040,2021-11-08,2021,,,apex Tech International Ltd,Apex Tech International Ltd,Receivable Invoice,Sales - Light Walls,Light Walls,160.0,1,1
Light Walls Ltd,INV-LW-1040,2021-11-08,2021,,,apex Tech International Ltd,Apex Tech International Ltd,Receivable Invoice,Sales - Light Walls,Light Walls,1243.58,1,1
Light Walls Ltd,INV-LW-1040,2021-11-08,2021,,,apex Tech International Ltd,Apex Tech International Ltd,Receivable Invoice,Sales - Light Walls,Light Walls,773.17,1,1
Light Walls Ltd,INV-LW-1047,2021-12-23,2021,,,apex Tech International Ltd,Apex Tech International Ltd,Receivable Invoice,Other Revenue,Other Revenue,80.88,0,1
Light Walls Ltd,INV-LW-1048,2021-12-23,2021,,,apex Tech International Ltd,Apex Tech International Ltd,Receivable Invoice,Sales,Sales,208.33,1,1
Light Walls Ltd,INV-LW-1066,2022-04-06,2022,,,apex Tech International Ltd,Apex Tech International Ltd,Receivable Invoice,Sales - Protopixel,Protopixel,1616.0,1,1
Light Walls Ltd,INV-LW-1066,2022-04-06,2022,,,apex Tech International Ltd,Apex Tech International Ltd,Receivable Invoice,Sales - Light Walls,Light Walls,75.0,1,1
Light Walls Ltd,INV-LW-1066,2022-04-06,2022,,,apex Tech International Ltd,Apex Tech International Ltd,Receivable Invoice,Sales - Light Walls,Light Walls,675.0,1,1
Light Walls Ltd,INV-LW-1066,2022-04-06,2022,,,apex Tech International Ltd,Apex Tech International Ltd,Receivable Invoice,Sales - Light Walls,Light Walls,125.0,1,1
Light Walls Ltd,INV-LW-1066,2022-04-06,2022,,,apex Tech International Ltd,Apex Tech International Ltd,Receivable Invoice,Sales - Protopixel,Protopixel,1520.0,1,1
Light Walls Ltd,INV-LW-1066,2022-04-06,2022,,,apex Tech International Ltd,Apex Tech International Ltd,Receivable Invoice,Sales - Light Walls,Light Walls,240.0,1,1
Light Walls Ltd,INV-LW-1066,2022-04-06,2022,,,apex Tech International Ltd,Apex Tech International Ltd,Receivable Invoice,Sales - Protopixel,Protopixel,60.0,1,1
Light Walls Ltd,Shipping Recharge,2022-04-29,2022,,,apex Tech International Ltd,Apex Tech International Ltd,Receivable Invoice,Other Revenue,Other Revenue,573.83,0,1
Light Walls Ltd,Shipping Recharge,2022-04-29,2022,,,apex Tech International Ltd,Apex Tech International Ltd,Receivable Invoice,Other Revenue,Other Revenue,253.15,0,1
Light Walls Ltd,INV-LW-1085,2022-10-10,2022,,,apex Tech International Ltd,Apex Tech International Ltd,Receivable Invoice,Sales,Sales,146.49,1,1
Light Walls Ltd,INV-LW-1085,2022-10-10,2022,,,apex Tech International Ltd,Apex Tech International Ltd,Receivable Invoice,Sales,Sales,193.75,1,1
Light Walls Ltd,INV-LW-1085,2022-10-10,2022,,,apex Tech International Ltd,Apex Tech International Ltd,Receivable Invoice,Sales,Sales,114.85,1,1
Light Walls Ltd,INV-LW-1085,2022-10-10,2022,,,apex Tech International Ltd,Apex Tech International Ltd,Receivable Invoice,Sales,Sales,83.86,1,1
Light Walls Ltd,INV-LW-1097,2022-11-18,2022,,,apex Tech International Ltd,Apex Tech International Ltd,Receivable Invoice,Sales,Sales,138.25,1,1
Light Walls Ltd,INV-LW-1104,2023-01-23,2023,,,apex Tech International Ltd,Apex Tech International Ltd,Receivable Invoice,Sales - Protopixel,Protopixel,1939.2,1,1
Light Walls Ltd,INV-LW-1104,2023-01-23,2023,,,apex Tech International Ltd,Apex Tech International Ltd,Receivable Invoice,Sales - Light Walls,Light Walls,150.0,1,1
Light Walls Ltd,INV-LW-1104,2023-01-23,2023,,,apex Tech International Ltd,Apex Tech International Ltd,Receivable Invoice,Sales - Light Walls,Light Walls,630.0,1,1
Light Walls Ltd,INV-LW-1104,2023-01-23,2023,,,apex Tech International Ltd,Apex Tech International Ltd,Receivable Invoice,Sales - Protopixel,Protopixel,1824.0,1,1
Light Walls Ltd,INV-LW-1119,2023-05-31,2023,,,apex Tech International Ltd,Apex Tech International Ltd,Receivable Invoice,Sales,Sales,85.01,1,1
Light Walls Ltd,INV-LW-1142,2023-12-01,2023,,,apex Tech International Ltd,Apex Tech International Ltd,Receivable Invoice,Sales,Sales,162.65,1,1
Light Walls Ltd,QU-LW-1010,2021-09-16,2021,,,Apex Tech Scotland Ltd,Apex Tech Scotland Ltd,Receivable Invoice,Sales - Light Walls,Light Walls,4955.0,1,1
Light Walls Ltd,QU-LW-1009,2021-09-16,2021,,,Apex Tech Scotland Ltd,Apex Tech Scotland Ltd,Receivable Invoice,Sales - Protopixel,Protopixel,773.81,1,1
Light Walls Ltd,QU-LW-1009,2021-09-16,2021,,,Apex Tech Scotland Ltd,Apex Tech Scotland Ltd,Receivable Invoice,Sales - Light Walls,Light Walls,47.62,1,1
Light Walls Ltd,QU-LW-1009,2021-09-16,2021,,,Apex Tech Scotland Ltd,Apex Tech Scotland Ltd,Receivable Invoice,Sales - Protopixel,Protopixel,952.38,1,1
Light Walls Ltd,QU-LW-1009,2021-09-16,2021,,,Apex Tech Scotland Ltd,Apex Tech Scotland Ltd,Receivable Invoice,Sales - Light Walls,Light Walls,866.67,1,1
Light Walls Ltd,QU-LW-1009,2021-09-16,2021,,,Apex Tech Scotland Ltd,Apex Tech Scotland Ltd,Receivable Invoice,Sales - Light Walls,Light Walls,520.2,1,1
Light Walls Ltd,QU-LW-1009,2021-09-16,2021,,,Apex Tech Scotland Ltd,Apex Tech Scotland Ltd,Receivable Invoice,Sales - Light Walls,Light Walls,91.8,1,1
Light Walls Ltd,QU-LW-1009,2021-09-16,2021,,,Apex Tech Scotland Ltd,Apex Tech Scotland Ltd,Receivable Invoice,Sales - Light Walls,Light Walls,63.2,1,1
Light Walls Ltd,QU-LW-1009,2021-09-16,2021,,,Apex Tech Scotland Ltd,Apex Tech Scotland Ltd,Receivable Invoice,Sales - Light Walls,Light Walls,231.28,1,1
Light Walls Ltd,INV-LW-1037,2021-09-24,2021,,,Apex Tech Scotland Ltd,Apex Tech Scotland Ltd,Receivable Invoice,Sales,Sales,7347.29,1,1
Light Walls Ltd,INV-LW-1041,2021-11-09,2021,,,Apex Tech Scotland Ltd,Apex Tech Scotland Ltd,Receivable Invoice,Other Revenue,Other Revenue,612.85,0,1
Light Walls Ltd,INV-LW-1043,2021-11-26,2021,,,Apex Tech Scotland Ltd,Apex Tech Scotland Ltd,Receivable Invoice,Sales - Light Walls,Light Walls,1288.3,1,1
Light Walls Ltd,INV-LW-1037,2021-12-21,2021,,,Apex Tech Scotland Ltd,Apex Tech Scotland Ltd,Receivable Credit Note,Sales,Sales,-7347.29,1,1
Light Walls Ltd,November Shipping,2021-12-23,2021,,,Apex Tech Scotland Ltd,Apex Tech Scotland Ltd,Receivable Invoice,Other Revenue,Other Revenue,1130.93,0,1
Light Walls Ltd,INV-LW-1063,2022-03-11,2022,,,Apex Tech Scotland Ltd,Apex Tech Scotland Ltd,Receivable Invoice,Other Revenue,Other Revenue,405.49,0,1
Light Walls Ltd,INV-LW-1064,2022-03-11,2022,,,Apex Tech Scotland Ltd,Apex Tech Scotland Ltd,Receivable Invoice,Other Revenue,Other Revenue,68.59,0,1
Light Walls Ltd,PO-2242,2022-04-13,2022,,,Apex Tech Scotland Ltd,Apex Tech Scotland Ltd,Receivable Invoice,Sales - Light Walls,Light Walls,225.0,1,1
Light Walls Ltd,Shipping Recharge,2022-04-29,2022,,,Apex Tech Scotland Ltd,Apex Tech Scotland Ltd,Receivable Invoice,Other Revenue,Other Revenue,370.85,0,1
Light Walls Ltd,Shipping Recharge,2022-04-29,2022,,,Apex Tech Scotland Ltd,Apex Tech Scotland Ltd,Receivable Invoice,Other Revenue,Other Revenue,133.27,0,1
Light Walls Ltd,INV-LW-1086,2022-10-10,2022,,,Apex Tech Scotland Ltd,Apex Tech Scotland Ltd,Receivable Invoice,Sales,Sales,68.22,1,1
Light Walls Ltd,INV-LW-1086,2022-10-10,2022,,,Apex Tech Scotland Ltd,Apex Tech Scotland Ltd,Receivable Invoice,Sales,Sales,383.11,1,1
Light Walls Ltd,INV-LW-1086,2022-10-10,2022,,,Apex Tech Scotland Ltd,Apex Tech Scotland Ltd,Receivable Invoice,Sales,Sales,544.61,1,1
Light Walls Ltd,INV-LW-1086,2022-10-10,2022,,,Apex Tech Scotland Ltd,Apex Tech Scotland Ltd,Receivable Invoice,Sales,Sales,306.36,1,1
Light Walls Ltd,INV-LW-1086,2022-10-10,2022,,,Apex Tech Scotland Ltd,Apex Tech Scotland Ltd,Receivable Invoice,Sales,Sales,239.9,1,1
Light Walls Ltd,INV-LW-1096,2022-11-18,2022,,,Apex Tech Scotland Ltd,Apex Tech Scotland Ltd,Receivable Invoice,Sales,Sales,740.19,1,1
Light Walls Ltd,INV-LW-1116,2023-05-31,2023,,,Apex Tech Scotland Ltd,Apex Tech Scotland Ltd,Receivable Invoice,Sales,Sales,125.84,1,1
Light Walls Ltd,INV-LW-1127,2023-09-18,2023,,,Apex Tech Scotland Ltd,Apex Tech Scotland Ltd,Receivable Invoice,Sales,Sales,547.33,1,1
Light Walls Ltd,INV-LW-1127,2023-09-18,2023,,,Apex Tech Scotland Ltd,Apex Tech Scotland Ltd,Receivable Invoice,Sales,Sales,600.23,1,1
Light Walls Ltd,INV-LW-1127,2023-09-18,2023,,,Apex Tech Scotland Ltd,Apex Tech Scotland Ltd,Receivable Invoice,Sales,Sales,268.33,1,1
Light Walls Ltd,INV-LW-1127,2023-09-18,2023,,,Apex Tech Scotland Ltd,Apex Tech Scotland Ltd,Receivable Invoice,Sales,Sales,138.33,1,1
Light Walls Ltd,INV-LW-1106,2023-02-14,2023,,,Apex Tech Scotland Ltd / Apex-Tech UK,Apex Tech Scotland Ltd,Receivable Invoice,Sales,Sales,398.37,1,1
Light Walls Ltd,INV-LW-1106,2023-02-14,2023,,,Apex Tech Scotland Ltd / Apex-Tech UK,Apex Tech Scotland Ltd,Receivable Invoice,Sales,Sales,245.36,1,1
Light Walls Ltd,INV-LW-1106,2023-02-14,2023,,,Apex Tech Scotland Ltd / Apex-Tech UK,Apex Tech Scotland Ltd,Receivable Invoice,Sales,Sales,283.12,1,1
Light Walls Ltd,INV-LW-1140,2023-12-01,2023,,,Apex Tech Scotland Ltd / Apex-Tech UK,Apex Tech Scotland Ltd,Receivable Invoice,Sales,Sales,141.17,1,1
Light Walls Ltd,INV-LW-1140,2023-12-01,2023,,,Apex Tech Scotland Ltd / Apex-Tech UK,Apex Tech Scotland Ltd,Receivable Invoice,Sales,Sales,289.93,1,1
Light Walls Ltd,PO-157,2020-12-29,2020,,,Apex Technologies USA LLC,Apex Technologies USA,Receivable Invoice,Sales,Sales,928.57,1,0
Light Walls Ltd,PO-157,2020-12-29,2020,,,Apex Technologies USA LLC,Apex Technologies USA,Receivable Invoice,Sales,Sales,51.99,1,0
Light Walls Ltd,PO-157,2020-12-29,2020,,,Apex Technologies USA LLC,Apex Technologies USA,Receivable Invoice,Sales,Sales,1714.3,1,0
Light Walls Ltd,PO-157,2020-12-29,2020,,,Apex Technologies USA LLC,Apex Technologies USA,Receivable Invoice,Sales,Sales,466.67,1,0
Light Walls Ltd,PO-157,2020-12-29,2020,,,Apex Technologies USA LLC,Apex Technologies USA,Receivable Invoice,Sales,Sales,897.2,1,0
Light Walls Ltd,PO-157,2020-12-29,2020,,,Apex Technologies USA LLC,Apex Technologies USA,Receivable Invoice,Sales,Sales,1600.0,1,0
Light Walls Ltd,PO-157,2020-12-29,2020,,,Apex Technologies USA LLC,Apex Technologies USA,Receivable Invoice,Sales,Sales,600.0,1,0
Light Walls Ltd,PO-189,2021-01-20,2021,,,Apex Technologies USA LLC,Apex Technologies USA,Receivable Invoice,Sales - Protopixel,Protopixel,1857.14,1,0
Light Walls Ltd,PO-189,2021-01-20,2021,,,Apex Technologies USA LLC,Apex Technologies USA,Receivable Invoice,Sales - Light Walls,Light Walls,2560.0,1,0
Light Walls Ltd,PO-189,2021-01-20,2021,,,Apex Technologies USA LLC,Apex Technologies USA,Receivable Invoice,Sales - Protopixel,Protopixel,2285.72,1,0
Light Walls Ltd,ch_1IJncYCRtEyavs3CqoGmc6j9,2021-02-11,2021,,,Apex Technologies USA LLC,Apex Technologies USA,Receive Money,Other Revenue,Other Revenue,5.84,0,0
Light Walls Ltd,Demo,2021-02-11,2021,,,Apex Technologies USA LLC,Apex Technologies USA,Receivable Invoice,Sales - Light Walls,Light Walls,329.6,1,0
Light Walls Ltd,Demo,2021-02-11,2021,,,Apex Technologies USA LLC,Apex Technologies USA,Receivable Invoice,Sales - Protopixel,Protopixel,171.43,1,0
Light Walls Ltd,PO-0223,2021-02-15,2021,,,Apex Technologies USA LLC,Apex Technologies USA,Receivable Invoice,Sales,Sales,1100.0,1,0
