Subitems,Name,Owner,Status,Sub Deal ID,Description,Value,Expected Invoice Date,Quotes & Invoices,Notes,col,col_2,col_3,col_4,col_5,col_6,col_7,col_8,board_group,parent_item
,Acoustic treatment,Olivier Dedek,Proposal,,C-ATS with basic design based on 8 x 6m room,16890,,,Will be included in the final offer,,,,,,,,,Active Deals,Mr Bird Cinema
,Screen Wall,Olivier Dedek,Proposal,,"6 x 3,56m",14566,,,Will be included in the final offer,,,,,,,,,Active Deals,Mr Bird Cinema
,Video,Olivier Dedek,Proposal,,DT MMD-V-XL for Freya AE,21918.6,,,Will be included in the final offer,,,,,,,,,Active Deals,Mr Bird Cinema
,Custom IP rated HB-M,Olivier Dedek,Proposal,,Custom stainless steel housing to the size requested.,10400,,,,,,,,,,,,Active Deals,ABE6516 Hush Box
,Engineering fee,Olivier Dedek,Complete,,Non refundable 20% deposit,2080,,,,,,,,,,,,Active Deals,ABE6516 Hush Box
,Acoustic treatment,Olivier Dedek,Proposal,,DES-B + 11x RES + 10x REV + 7x REF,16890,,,,,,,,,,,,Active Deals,Cinema Hungary
,Room fit-out,Olivier Dedek,Proposal,,SW + Paris with Starlight + Aspen + Enhanced Design,134747.5,,,,,,,,,,,,Active Deals,Cinema Hungary
,Lighting HW,Olivier Dedek,Proposal,,Advatek x6 + 1U server,5683,,,,,,,,,,,,Active Deals,Cinema Hungary
,Services,Olivier Dedek,Proposal,,Engineering + Pixel mapping,2400,,,,,,,,,,,,Active Deals,Cinema Hungary
,C-ATS,Olivier Dedek,Proposal,,Basic Design Service + 11x RES + 10x REV + 7x REF,16890,,,,,,,,,,,,Active Deals,Project Galileo
,SW,Olivier Dedek,Proposal,,"6,3x2,7m",11599.25,,,,,,,,,,,,Active Deals,Project Galileo
,Projection option A,Olivier Dedek,Proposal,,Heimdal+ CS + MadVR Extreme. + MMD + DYN-2S-420,73109.1,,,,,,,,,,,,Active Deals,Project Galileo
,Design fee,Olivier Dedek,Proposal,,15% of the PC Sum,2880,,,,,,,,,,,,Active Deals,Musée de la Tapisserie de Bayeux
,4K Infinity Cinema Wall,Olivier Dedek,Proposal,,,,,,,,,,,,,,,Active Deals,4K LED Wall
,SW + POM,Olivier Dedek,Proposal,,,,,,,,,,,,,,,Active Deals,4K LED Wall
,Installation support + commissioning and calibration,,Proposal,,,,,,,,,,,,,,,Active Deals,4K LED Wall
,3x VMM-XXL,Olivier Dedek,Proposal,,10% discount,16768.62,,,For a Christie 4K1600-JS with 140-111104-XX lens.,,,,,,,,,Active Deals,Ballroom project
,9x PHG-1,Olivier Dedek,Proposal,,10% discount,14302.98,,,,,,,,,,,,Active Deals,Ballroom project
,,,,4133340.2,,,2026-05-15 to 2026-10-30,27.6923076923,594410.65,2025-10-15 to 2026-07-27,,,,2025-07-14 to 2026-06-10,,,,Active Deals,"Cinema Pro 75"""
,VDS 0.7 4x4 LED wall,,Proposal,,"Option B: VDS (MG2 COB Ultra) 0.7pp | 4x4 cabinet format | 3072*1728 | 2.4m x 1.35m | 108"" (5% spares +
puck wall mount included)",52800,,,,,,,,,,,,Closed Won,Bishops Lane
,VDS 0.7 5x4 LED wall,,Proposal,,"Option B: VDS (MG2 COB Ultra) 0.7pp | 5x4 cabinet format | 3840*1728 | 3m x 1.35m | 129.5"" (5% spares +
puck wall mount included)",66000,,,,,,,,,,,,Closed Won,Bishops Lane
,LED wall controllers,,Proposal,,Z8t colorlight controller with a HDMI 2.1 input (2x 4x 5G outputs and 3-in-1 input card),48320,,,,,,,,,,,,Closed Won,Bishops Lane
,Gold Install VDS,,Proposal,,For both screens,8800,,,,,,,,,,,,Closed Won,Bishops Lane
,Sound Isolation Design,,Agreed,,"Project Deliverables:
1.	Initial plan showing estimated wall thickness post isolation for mock up purposes – we can deliver this drawing quickly
2.	Isolation build guild with relevant generic detail drawings for each isolation element
3.	Project drawings with call outs to the relevant detail drawings
4.	Bill of Materials – this will be based on materials we use in the UK with the expectation of a review to identify if Canadian equivalents are required – 4 hours built in for this review
5.	8 hours of post delivery support in meetings or re-drafts. Further works beyond that are charged at £100+VAT per hour",7500,,,,,,,,,,,,Closed Won,Bishops Lane
,Acoustic treatment Design,,Agreed,,Basic,3000,,,,,,,,,,,,Closed Won,Bishops Lane
,Komodo 0.7 7x5 Media Room,,Proposal,,"Option A: Komodo 0.7pp | 7x5 cabinet format | 4480*1800 | 3.36m x 1.35m | 185"" (5% spares + puck wall mount included)",307200,,,,,,,,,,,,Closed Won,Bishops Lane
,Komodo 0.7 5x5 Sunken TV Pit,,Proposal,,"Option A: Komodo 0.7pp | 5x5 cabinet format | 3200*1800 | 2.4m x 1.35m | 120"" (5% spares + puck wall mount included)",220000,,,,,,,,,,,,Closed Won,Bishops Lane
,SW-LED Media Room,,Proposal,,,8183.5,,,,,,,,,,,,Closed Won,Bishops Lane
,SW-LED Sunken TV Pit,,Proposal,,Freestanding,4719,,,,,,,,,,,,Closed Won,Bishops Lane
,Gold Install Komodo MR,,Proposal,,,10000,,,,,,,,,,,,Closed Won,Bishops Lane
,Gold Install Komodo STV,,Proposal,,,7200,,,,,,,,,,,,Closed Won,Bishops Lane
,DYN-2TB-XL-600 split rollers,Olivier Dedek,Proposal,,5900 image base 1.78 - ATStudio,25868.7,,,,,,,,,,,,Closed Won,Project REV
,Guided Installation,Olivier Dedek,Proposal,,2 DT engineers onsite,3000,,,,,,,,,,,,Closed Won,Project REV
,Travel and accomodation,Olivier Dedek,Proposal,,Vlissingen NL,2000,,,,,,,,,,,,Closed Won,Project REV
,Komodo 0.7 6x5,Olivier Dedek,Proposal,,Komodo 0.7pp | 6x5 cabinet format | 3840*1800 | 2.88m x 1.35m | (5% spares + puck wall mount included),260000,,,,,,,,,,,,Closed Won,Harehope
,Gold Install,Olivier Dedek,Proposal,,,8400,,,,,,,,,,,,Closed Won,Harehope
,Video Processor,Olivier Dedek,Proposal,,MadVR Extreme,11077.5,,,,,,,,,,,,Closed Won,Harehope
,SW,Olivier Dedek,Proposal,,"3,5 x 2,6m",6207.5,,,,,,,,,,,,Closed Won,Harehope
,C-ATS,Mark Franks,Proposal,,5X RES + 4x REF + 4x REV,6420,,,Based on 5x3 standard layout,,,,,,,,,Closed Won,Musselburgh Cinema
,FW Seattle,Mark Franks,Proposal,,Seattle with dropped ceiling and white LED,7813.5,,,"3,6 x 4,1 x 2,1m",,,,,,,,,Closed Won,Musselburgh Cinema
,Fixed screen,Mark Franks,Proposal,,"Outline Cinema 105""",1462.5,,,,,,,,,,,,Closed Won,Musselburgh Cinema
,MAG speaker system,Mark Franks,Proposal,,5.2.4 system,5493,,,3x M8 (exdemo) + 2x S6 (exdemo) + 4x S4 + 1x Slim 110,,,,,,,,,Closed Won,Musselburgh Cinema
,Projector enclosure - Cinema,Mark Franks,Proposal,,"Cinema: DT-HB-M+, DT-HBO-VM, Lift System, DT-M-250 x2, DT-M-C2.",,,,,,,,,,,,,Closed Won,Dream Games
