item_description,assigned_category,rows,net
"LEY-KOMODO-0.7 -Komodo 0.7pp | 7x5 cabinet format | 4480*1800 | 3.36m x 1.35m | 185"" (5% spares + puck wall mount included)",LED Video Walls,1,184320.0
Komodo 0.7pp | 6x5 cabinet format | 3840*1800 | 2.88m x 1.35m | (5% spares + puck wall mount included),LED Video Walls,1,156000.0
"LEY-KOMODO-0.7 - Komodo 0.7pp | 5x5 cabinet format | 3200*1800 | 2.4m x 1.35m | 120"" (5% spares + puck wall mount included)",LED Video Walls,1,132000.0
"BAR-HDL-CC-B - Heimdall Cinemascope Cinema - 4000 lumens, UHD - 2.37 DLP aspect, RGB Laser - Black",Projectors,1,29791.66
AV Systems Design Package,"Services — design, commissioning & support",1,29195.0
DYN4XL-5960-1.86-IS-ATS-XL - Luxury Black Fabric for the masks,Masking screens,1,28284.0
Reflection Control Panel,Acoustic Treatment,26,25414.78
Heimdall Cinema Projector,Projectors,1,24700.0
Vertical Projector Mirror Mount,Projector Mounts,11,23876.01
Projector Port Hole (Double Glazed),Port holes & glass,9,23673.9
REVERBERATION CONTROL PANEL 50mm,Acoustic Treatment,21,22057.38
madVR Envy Extreme MK2,Video Processors,2,21855.0
Sound Isolation Project Drawings,"Services — design, commissioning & support",1,20000.0
Projector Port Hole (Single Glazed),Port holes & glass,7,18489.64
Pixel LED Tape - 12v RGBW,LED Tape,14,17425.56
Acoustic Treatment Design Service - Basic,"Services — design, commissioning & support",5,17000.0
Cinema Interior - Busan - (D#QS9FG5Y),Cinema interiors,1,15953.16
RESONANCE CONTROL PANEL,Acoustic Treatment,9,14392.4
Balder Media Room Projector,Projectors,1,13845.0
Fabric Walls - Seattle Design Optimised for Cinepodz,"Services — design, commissioning & support",1,13068.0
Dynamic 4 - 4-Way Masking Screen - (D#009JBHC),Masking screens,1,12994.8
Dynamic 4 - 4-Way Masking Screen - (D#99S8LN7),Masking screens,1,12994.8
DT-DYN-2TB-XL-5900-1.78-ATSXL with split rollers,Masking screens,1,12934.35
Mistral-250 Inline Fan,Airflow,1,11694.0
Dynamic 2s - Side Masking Screen - (D#WE2JF10),Masking screens,1,10684.16
I600-4K8 Projector,Projectors,1,10500.0
Custom stainless steel HB to the size requested.,Hush boxes,1,10400.0
"LEY-GOLD-KOMODO-0.7 - Gold tier Professional services including commissioning, assisted installation, and on-site training.","Services — design, commissioning & support",2,10320.0
Mad VR Envy Core,Video Processors,5,9932.16
50mm Foam Panels - 2000 x 1000,Acoustic Treatment,2,9625.0
"OQ75A3KOHK-UK - Sylvox Cinema Pro 75""",Displays,1,9498.8
Custom Mirror Unit - In Ceiling Drop,Projector Mounts,1,9350.0
Hush Box - Medium Plus - Left and Rear (L) / 250mm,Hush boxes,1,9181.2
PixLite® A4-S Mk3,LED Control and Power,11,9028.25
Downpayment for FW Mexico City showroom,Payments & adjustments,1,9000.0
Projector Port Hole Small (Single Glazed),Port holes & glass,7,8717.24
DT-DYN-2S-360-2.4-ATR-230v,Masking screens,1,8577.25
DP4000 IA - DP4000 Intelligent Amplifier,Audio Amplifiers,1,8400.0
Ultrasuede LX - GC1 - Ashphalt,Fabrics,1,7745.0
"DT-SW-LED - Modular screen wall solution featuring a decoupled framework, Baffle mounting speaker locations and acoustics. Based on dimensions 5 x 2,4m",Screen Walls,2,7741.5
DT-HB-E - Enthusiast HB with integrated airflow management system,Hush boxes,2,7700.0
Sound Isolation Design Project,"Services — design, commissioning & support",1,7500.0
Mistral-200 Inline Fan,Airflow,4,7214.34
FW frame - RAL 1015 - Ultrasuede XL Cameo - 1085x4555mm,Fabric wall frames & panels,1,7106.54
Dynamic 2TB - Top and Bottom Masking Screen - (D#WX0RZO9),Masking screens,1,6991.8
